编号,日文原名,中文名称,功能说明,使用场景,Source
06,AI先生の添削で、「文書作成」への苦手意识を克服する,通过AI老师的批改，克服对“文档撰写”的畏难情绪,利用Copilot的“教练”功能分析文章，提供关于措辞、结构和礼貌程度的具体修改方案和建议。,在撰写商务邮件或工作文档，且不确定表达是否得体或担心引起误解时使用。,[1]
07,専門用語を、AI通訳により「伝わる言葉」に変換する,通过AI翻译，将专业术语转化为“听得懂的语言”,AI充当不同知识领域间的“翻译官”，将专业术语或公司内部语言转换为对方易于理解的通俗表达或类比。,向非IT部门、客户或不同背景的人员解释复杂的技术方案或专业内容时。,[1]
08,Word文書からPowerPoint資料を一瞬で作成する,瞬间将Word文档转化为PowerPoint资料,AI识别Word文档的标题、目录及逻辑结构，自动将其摘要并转换为演示文稿的幻灯片内容及备注。,需要将详细的报告书、议事录快速整理为汇报用PPT演示文稿时。,[1]
09,PowerPointでAIに「いい感じの図」を作ってもらい、資料をわかりやすくする,在PowerPoint中让AI制作“视觉感良好的图表”，提升资料易读性,AI根据文字指令将抽象的概念视觉化，自动生成符合上下文逻辑的高质量图表、图标或插画。,需要直观展示复杂关系，但缺乏设计专业知识，难以自行制作精美视觉素材时。,[1]
10,移動中にひらめいたアイデアを「構造化メモ」に記録する,将移动中闪现的灵感记录为“结构化笔记”,通过语音输入模式捕捉零散想法，AI理解语境并自动将其整理成逻辑清晰、带有待办事项的结构化备忘录。,在移动途中或不便打字时突然产生灵感，需要快速记录并整理思路。,[1]
11,AIを「壁打ち相手」に、革新的なアイデアを生み出す,将AI作为“灵感碰撞对象”，激发创新点子,AI扮演专业角色，通过精准提问和提供多元视角，帮助用户整理思绪，发现一个人思考时难以察觉的可能性。,进行策划构思遇到瓶颈、思维陷入死循环，或者需要对现有方案进行多角度审视时。,[1]
12,Copilotの「ノートブック」で、思考を深化させる,利用Copilot的“笔记本”功能深化思考,"支持高达18,000字符的长文本处理，AI能基于大量背景信息提供深度的战略建议、风险分析或逻辑核查。",面对复杂的课题，需要AI阅读长篇策划书、报告初稿并提供深刻见解时。,[1]
13,学習履歴や実績を「ポートフォリオサイト」として可視化する,将学习历程与成果转化为“作品集网站”可视化呈现,AI扮演网页设计师，从杂乱的学习记录和工作成果中提取核心价值，自动生成结构化、具有故事感的个人网站框架。,需要向初次见面的人或潜在客户展示自己的强项和成长历程，但资料零散难以叙述时。,[1]
14,AIキャリアデザイナーと共に、情熱と目標を融合した「カスタム学習計画」を設計する,与AI职业规划师共同设计融合热情与目标的“定制学习计划”,AI结合用户的最终职业目标与个人兴趣情境，设计专属的学习路线图和阶段性里程碑。,想要学习新技能却不知从何入手，或无法在职业目标与个人兴趣之间找到平衡点时。,[1]
15,目標達成までの全タスクを、全自動の逆算思考で洗い出す,通过全自动逆算思维，梳理达成目标的所有任务,AI作为项目经理，从最终目标出发逆向推导，将宏大目标分解为月、周、日级别的可执行任务列表。,面对厚重的参考书或长期资格考试任务，因不知如何分配进度而导致计划流于形式时。,[1]
16,学習の「つまづきポイント」を予測させ、挫折を防止する,预测学习中的“绊脚石”，防止半途而废,AI作为资深导师，提前预判特定学科中初学者容易困惑的概念，并提供预防性的学习对策和参考资料。,开始学习新领域之前，为了降低因突遇难关而产生的挫败感，提前做好心理准备和应对方案。,[1]
17,「学習スタイル診断」で、自分の脳に最適化した学習戦略を選ぶ,通过“学习风格诊断”，选择最适合大脑的学习策略,AI分析用户的性格、过往成功/失败经验，确定其大脑认知倾向（如视觉型），并推荐科学的学习方法。,尝试了流行的学习法却无法集中注意力，希望找到一种事半功倍、符合天性的个人化学习方式时。,[1]
18,毎日の感情の波から、「自分のゴールデンタイム」を発見する,从日常情绪波动中发现“个人的黄金时间”,基于长期的身心状态记录，AI分析并发现生产力与星期、时间段、活动内容之间的客观规律，识别高效时段。,希望科学管理精力，通过了解自己的生物钟规律来优化工作和学习的时间安排。,[1]
19,「タイムキーパー」を召喚し、集中力を保つ,召唤“计时员”以保持注意力高度集中,AI不仅是简单的闹钟，而是理解任务内容后，在合适的时机以积极的语言提醒任务切换，引导用户进入工作状态。,容易沉迷于单一任务而错过后续安排，或者需要更有温度的提醒来辅助时间管理时。,[1]
